x,y,region,home_county,mutual_aid_number,type,accidental_transmitter,date,operational_periods,number_volunteers,total_hours,mileage,total_paid_hours,aircraft_used,area_type,area_type_other,land_ownership,land_ownership_other,number_subjects,category,category_other,age_sub_1,gender_sub_1,fitness_sub_1,experience_sub_1,mental_factor_sub_1,mental_rating_sub_1,age_sub_2,gender_sub_2,fitness_sub_2,experience_sub_2,mental_factor_sub_2,mental_rating_sub_2,age_sub_3,gender_sub_3,fitness_sub_3,experience_sub_3,mental_factor_sub_3,mental_rating_sub_3,age_sub_4,gender_sub_4,fitness_sub_4,experience_sub_4,mental_factor_sub_4,mental_rating_sub_4,age_sub_5,gender_sub_5,fitness_sub_5,experience_sub_5,mental_factor_sub_5,mental_rating_sub_5,group_specifics,number_sub_well,number_sub_ill_injured,number_sub_doa,number_sub_not_found,point_found_count,medical_problems_subject,medical_problems_other_subject,medical_provider,medical_provider_other,year,male_female,sub_1,sub_2,sub_3,sub_4,sub_5,sub_total,state,children,seniors,mental,daylight,winter,helicopter,uav,fixed_wing,total_aircrafts,gps,time_bin
-106.609090717,39.463868313,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/07/07 21:00:00+00,1.0,12.0,66.0,,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,climbing,,,female,good,fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,Trauma_Extremities,,Local_EMS,,2019,female,1.0,,,,,1.0,Colorado,0,0,0,0,0,1,0,0,1,0,32hours-7day
-106.305979641,39.6818968600001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/07/26 18:30:00+00,1.0,7.0,14.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,65.0,female,fair,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,Illness_Altitude,,None,,2019,female,1.0,,,,,1.0,Colorado,0,0,0,1,0,0,0,0,0,0,11-32hr
-106.314734371,39.7039558430001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/07/27 15:30:00+00,1.0,8.0,52.0,,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,6.0,hiking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6 elderly hikers started at eisenman hut and attempted o descent to piney lake. became weakened due to late snow cover and eventually stuck north of booth falls in piney drainage. subjects had no gps and only i-phone for navigational

ages range from 56-80 years old.",6.0,0.0,,0.0,,,,,,2019,,,,,,,,Colorado,0,0,0,1,0,1,0,0,1,0,32hours-7day
-106.270962254,39.6265534560001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/07/27 19:44:59+00,1.0,4.0,8.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,25.0,female,fair,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,Trauma_Extremities,,Local_EMS,,2019,female,1.0,,,,,1.0,Colorado,0,0,0,1,0,0,0,0,0,0,0-11hr
-106.251133831,39.410870495,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/08/12 23:15:00+00,1.0,8.0,10.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,biking,,,male,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,Trauma_Extremities,,Local_EMS,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,0,0,0,0,0,0,0-11hr
-106.309007706,39.5546787100001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,search,,2019/08/17 04:15:00+00,1.0,4.0,48.0,,,no,wilderness,,"forest, park, monument, blm",,8.0,other,mushroom hunters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entire group seperated and lost contact with the other.  very disorganized group.,8.0,0.0,,0.0,,,,,,2019,,,,,,,,Colorado,0,0,0,0,0,0,0,0,0,0,32hours-7day
-106.44609038,39.3953502210001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/11/04 00:45:00+00,1.0,6.0,25.0,,,no,wilderness,,"forest, park, monument, blm",,2.0,driving,,25.0,female,fair,poor,,,25.0,female,fair,poor,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,,2019,female,1.0,1.0,,,,2.0,Colorado,0,0,0,0,1,0,0,0,0,0,11-32hr
-107.008632572,39.8755301780001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,search,,2019/11/05 05:00:00+00,1.0,7.0,84.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hunting,,56.0,male,fair,fair,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,1,0,0,0,0,0,32hours-7day
-106.512840439,39.3945056810001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,search,,2019/07/25 21:14:59+00,1.0,9.0,72.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,34.0,female,good,fair,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,female,1.0,,,,,1.0,Colorado,0,0,0,0,0,0,0,0,0,0,32hours-7day
-123.491605326,48.01091268,Washington Region,"['Kitsap County ', ' Washington']",19-3377,rescue,,2019/09/20 23:15:00+00,1.0,10.0,102.0,462.0,0.0,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,40.0,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,OTHER,"dehydration, weakness no food 5 days",,,2019,male,1.0,,,,,1.0,Washington,0,0,0,0,0,0,0,0,0,0,32hours-7day
-123.140835214,47.7484914940001,Washington Region,"['Kitsap County ', ' Washington']",19-3390,rescue,,2019/09/21 23:29:59+00,1.0,12.0,46.0,460.0,0.0,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hiking,,33.0,male,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,"Trauma_Head,Trauma_Chest,Trauma_Extremities,OTHER",unconscious until helo pickup on way to hospital,Other,Navy helo medic,2019,male,1.0,,,,,1.0,Washington,0,0,0,0,0,1,0,0,1,0,32hours-7day
-123.556760894,47.950651663,Washington Region,"['Kitsap County ', ' Washington']",19-3431,rescue,,2019/09/24 23:45:00+00,1.0,10.0,57.0,476.0,0.0,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hiking,,50.0,female,fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,"Trauma_Pelvis,OTHER",possible hip and back injury from minor fall from hammock,"SAR_team,Other",doctor in the  hiking party,2019,female,1.0,,,,,1.0,Washington,0,0,0,0,0,1,0,0,1,0,32hours-7day
-110.77333,32.31861,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/01/08 20:36:59+00,,14.0,52.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,21.0,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,2019,female,1.0,,,,,1.0,Arizona,0,0,0,1,0,0,0,0,0,0,32hours-7day
-111.06472,32.21,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/01/09 23:16:00+00,1.0,15.0,47.0,,,no,urban_rural,,county,,1.0,hiking,,68.0,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Arizona,0,0,0,0,0,0,0,0,0,0,32hours-7day
-110.63278,32.0550000000001,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/01/12 21:53:59+00,1.0,10.0,20.0,,,no,urban_rural,,county,,1.0,biking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,2019,,,,,,,,Arizona,0,0,0,0,0,0,0,0,0,0,11-32hr
-110.905,32.3466700000001,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/01/20 01:25:00+00,1.0,10.0,12.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,2019,,,,,,,,Arizona,0,0,0,0,0,0,0,0,0,0,11-32hr
-110.82806,32.34333,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/01/26 01:54:59+00,1.0,8.0,24.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,,,,,,,,Arizona,0,0,0,0,0,0,0,0,0,0,11-32hr
-110.77083,32.3280600000001,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/01/27 07:36:00+00,1.0,17.0,59.0,,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,2019,,,,,,,,Arizona,0,0,0,1,0,1,0,0,1,0,32hours-7day
-110.90972,32.40806,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/02/13 01:18:59+00,1.0,13.0,42.0,,,aircraft-fixed_wing,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,,,,,,,,Arizona,0,0,0,0,0,0,0,1,1,0,32hours-7day
-110.81056,32.31167,Desert Region,"['Pima County ', ' Arizona']",,rescue,,2019/02/15 22:11:00+00,1.0,4.0,11.0,,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,,,,,,,,Arizona,0,0,0,0,0,1,0,0,1,0,0-11hr
